nodesPerPartition bytesPerNode cliquesPerPartition
4 0 1
2 0 1
2 0 1
12 0 1
9 0 1
13 0 1
8 0 1
3 0 1
4 0 1
4 0 1
3 0 1
4 0 1
2 0 1
3 0 1
5 0 1
3 0 1
5 0 1
11 0 1
9 0 1
8 0 1
6 0 1
3 0 1
3 0 1
2 0 1
8 0 1
4 0 1
3 0 1
12 0 1
3 0 1
6 0 1
3 0 1
2 0 1
4 0 1
3 0 1
4 0 1
2 0 1
7 0 1
3 0 1
2 0 1
4 0 1
6 0 1
2 0 1
2 0 1
6 0 1
4 0 1
10 0 1
2 0 1
3 0 1
2 0 1
6 0 1
3 0 1
2 0 1
5 0 1
2 0 1
5 0 1
5 0 1
2 0 1
2 0 1
5 0 1
4 0 1
5 0 1
3 0 1
2 0 1
2 0 1
2 0 1
3 0 1
3 0 1
3 0 1
2 0 1
12 0 1
15 0 1
26 0 1
5 0 1
3 0 1
5 0 1
6 0 1
2 0 1
11 0 1
2 0 1
7 0 1
3 0 1
10 0 1
9 0 1
4 0 1
3 0 1
26 0 1
13 0 1
9 0 1
13 0 1
9 0 1
9 0 1
5 0 1
3 0 1
2 0 1
14 0 1
2 0 1
4 0 1
4 0 1
6 0 1
6 0 1
21 0 1
21 0 1
9 0 1
4 0 1
7 0 1
3 0 1
4 0 1
4 0 1
3 0 1
5 0 1
13 0 1
7 0 1
7 0 1
11 0 1
3 0 1
22 0 1
5 0 1
4 0 1
5 0 1
5 0 1
15 0 1
7 0 1
15 0 1
8 0 1
7 0 1
4 0 1
74 0 1
19 0 1
15 0 1
6 0 1
9 0 1
5 0 1
14 0 1
2 0 1
10 0 1
14 0 1
3 0 1
5 0 1
2 0 1
2 0 1
5 0 1
3 0 1
2 0 1
15 0 1
3 0 1
6 0 1
3 0 1
4 0 1
30 0 1
4 0 1
12 0 1
2 0 1
12 0 1
53 0 1
3 0 1
18 0 1
8 0 1
3 0 1
18 0 1
11 0 1
3 0 1
3 0 1
14 0 1
6 0 1
2 0 1
4 0 1
18 0 1
28 0 1
11 0 1
3 0 1
3 0 1
2 0 1
4 0 1
35 0 1
3 0 1
10 0 1
7 0 1
9 0 1
4 0 1
19 0 1
7 0 1
4 0 1
9 0 1
5 0 1
3 0 1
7 0 1
4 0 1
4 0 1
10 0 1
6 0 1
2 0 1
3 0 1
7 0 1
8 0 1
22 0 1
12 0 1
12 0 1
2 0 1
10 0 1
7 0 1
6 0 1
5 0 1
8 0 1
4 0 1
7 0 1
6 0 1
16 0 1
14 0 1
25 0 1
7 0 1
3 0 1
7 0 1
10 0 1
5 0 1
6 0 1
10 0 1
14 0 1
12 0 1
3 0 1
5 0 1
8 0 1
4 0 1
3 0 1
7 0 1
2 0 1
3 0 1
2 0 1
10 0 1
2 0 1
30 0 1
7 0 1
3 0 1
5 0 1
13 0 1
4 0 1
4 0 1
3 0 1
4 0 1
5 0 1
4 0 1
6 0 1
3 0 1
11 0 1
4 0 1
19 0 1
25 0 1
7 0 1
9 0 1
6 0 1
17 0 1
30 0 1
9 0 1
4 0 1
2 0 1
6 0 1
20 0 1
13 0 1
5 0 1
2 0 1
13 0 1
2 0 1
16 0 1
5 0 1
6 0 1
14 0 1
5 0 1
3 0 1
4 0 1
8 0 1
5 0 1
7 0 1
2 0 1
3 0 1
6 0 1
28 0 1
8 0 1
29 0 1
8 0 1
2 0 1
38 0 1
4 0 1
45 0 1
23 0 1
25 0 1
6 0 1
4 0 1
29 0 1
4 0 1
5 0 1
5 0 1
2 0 1
18 0 1
2 0 1
2 0 1
5 0 1
5 0 1
8 0 1
7 0 1
15 0 1
18 0 1
5 0 1
18 0 1
4 0 1
8 0 1
2 0 1
11 0 1
19 0 1
2 0 1
4 0 1
5 0 1
28 0 1
8 0 1
5 0 1
6 0 1
3 0 1
2 0 1
13 0 1
17 0 1
3 0 1
5 0 1
25 0 1
4 0 1
2 0 1
16 0 1
10 0 1
23 0 1
22 0 1
4 0 1
6 0 1
5 0 1
11 0 1
5 0 1
86 0 1
11 0 1
40 0 1
2 0 1
4 0 1
6 0 1
9 0 1
8 0 1
3 0 1
22 0 1
4 0 1
6 0 1
2 0 1
3 0 1
7 0 1
10 0 1
2 0 1
8 0 1
12 0 1
2 0 1
6 0 1
15 0 1
10 0 1
8 0 1
4 0 1
3 0 1
5 0 1
44 0 1
14 0 1
88 0 1
4 0 1
31 0 1
2 0 1
4 0 1
22 0 1
4 0 1
10 0 1
3 0 1
3 0 1
2 0 1
2 0 1
20 0 1
29 0 1
7 0 1
2 0 1
31 0 1
4 0 1
8 0 1
31 0 1
35 0 1
3 0 1
10 0 1
3 0 1
2 0 1
6 0 1
4 0 1
8 0 1
7 0 1
3 0 1
16 0 1
8 0 1
4 0 1
11 0 1
2 0 1
5 0 1
6 0 1
5 0 1
4 0 1
6 0 1
8 0 1
4 0 1
4 0 1
7 0 1
4 0 1
3 0 1
31 0 1
54 0 1
6 0 1
4 0 1
9 0 1
3 0 1
3 0 1
3 0 1
5 0 1
10 0 1
6 0 1
6 0 1
4 0 1
4 0 1
19 0 1
19 0 1
5 0 1
9 0 1
7 0 1
7 0 1
3 0 1
56 0 1
15 0 1
10 0 1
5 0 1
7 0 1
4 0 1
3 0 1
2 0 1
13 0 1
3 0 1
3 0 1
2 0 1
2 0 1
7 0 1
3 0 1
5 0 1
5 0 1
18 0 1
4 0 1
18 0 1
4 0 1
9 0 1
6 0 1
2 0 1
5 0 1
4 0 1
6 0 1
5 0 1
4 0 1
6 0 1
8 0 1
18 0 1
5 0 1
10 0 1
39 0 1
5 0 1
14 0 1
7 0 1
12 0 1
6 0 1
5 0 1
24 0 1
5 0 1
8 0 1
7 0 1
3 0 1
4 0 1
18 0 1
4 0 1
33 0 1
3 0 1
19 0 1
4 0 1
40 0 1
17 0 1
2 0 1
13 0 1
11 0 1
2 0 1
3 0 1
4 0 1
3 0 1
5 0 1
22 0 1
18 0 1
3 0 1
3 0 1
7 0 1
7 0 1
7 0 1
22 0 1
12 0 1
4 0 1
9 0 1
6 0 1
2 0 1
5 0 1
12 0 1
6 0 1
13 0 1
7 0 1
16 0 1
2 0 1
9 0 1
11 0 1
7 0 1
3 0 1
39 0 1
3 0 1
10 0 1
22 0 1
13 0 1
3 0 1
4 0 1
2 0 1
3 0 1
9 0 1
5 0 1
20 0 1
28 0 1
4 0 1
4 0 1
4 0 1
15 0 1
2 0 1
6 0 1
13 0 1
3 0 1
2 0 1
2 0 1
2 0 1
16 0 1
40 0 1
26 0 1
7 0 1
2 0 1
3 0 1
10 0 1
10 0 1
2 0 1
4 0 1
13 0 1
10 0 1
6 0 1
4 0 1
4 0 1
9 0 1
16 0 1
2 0 1
10 0 1
24 0 1
14 0 1
3 0 1
7 0 1
4 0 1
9 0 1
11 0 1
2 0 1
6 0 1
6 0 1
5 0 1
11 0 1
3 0 1
2 0 1
10 0 1
7 0 1
20 0 1
39 0 1
6 0 1
26 0 1
6 0 1
7 0 1
2 0 1
3 0 1
7 0 1
3 0 1
20 0 1
7 0 1
8 0 1
2 0 1
9 0 1
35 0 1
4 0 1
3 0 1
5 0 1
16 0 1
3 0 1
5 0 1
2 0 1
4 0 1
2 0 1
5 0 1
3 0 1
5 0 1
5 0 1
21 0 1
2 0 1
12 0 1
8 0 1
3 0 1
5 0 1
15 0 1
6 0 1
12 0 1
7 0 1
3 0 1
4 0 1
6 0 1
2 0 1
3 0 1
7 0 1
7 0 1
2 0 1
9 0 1
2 0 1
15 0 1
5 0 1
2 0 1
12 0 1
12 0 1
22 0 1
14 0 1
4 0 1
7 0 1
2 0 1
18 0 1
2 0 1
19 0 1
5 0 1
64 0 1
13 0 1
55 0 1
5 0 1
9 0 1
2 0 1
9 0 1
7 0 1
5 0 1
4 0 1
2 0 1
17 0 1
38 0 1
20 0 1
24 0 1
3 0 1
6 0 1
3 0 1
3 0 1
2 0 1
5 0 1
46 0 1
11 0 1
11 0 1
9 0 1
8 0 1
4 0 1
2 0 1
2 0 1
7 0 1
40 0 1
3 0 1
5 0 1
6 0 1
4 0 1
36 0 1
4 0 1
5 0 1
3 0 1
13 0 1
13 0 1
2 0 1
3 0 1
12 0 1
7 0 1
3 0 1
2 0 1
10 0 1
2 0 1
9 0 1
3 0 1
8 0 1
4 0 1
2 0 1
4 0 1
3 0 1
12 0 1
4 0 1
16 0 1
2 0 1
9 0 1
3 0 1
4 0 1
8 0 1
13 0 1
4 0 1
3 0 1
8 0 1
21 0 1
13 0 1
9 0 1
8 0 1
5 0 1
19 0 1
4 0 1
2 0 1
6 0 1
7 0 1
2 0 1
9 0 1
8 0 1
3 0 1
10 0 1
7 0 1
11 0 1
16 0 1
20 0 1
4 0 1
11 0 1
4 0 1
42 0 1
6 0 1
4 0 1
8 0 1
20 0 1
42 0 1
8 0 1
6 0 1
2 0 1
5 0 1
3 0 1
2 0 1
3 0 1
15 0 1
12 0 1
14 0 1
13 0 1
2 0 1
7 0 1
14 0 1
2 0 1
18 0 1
6 0 1
10 0 1
2 0 1
4 0 1
56 0 1
4 0 1
10 0 1
9 0 1
24 0 1
3 0 1
15 0 1
10 0 1
7 0 1
19 0 1
3 0 1
8 0 1
7 0 1
2 0 1
12 0 1
12 0 1
9 0 1
41 0 1
9 0 1
2 0 1
2 0 1
11 0 1
10 0 1
9 0 1
17 0 1
12 0 1
9 0 1
5 0 1
4 0 1
7 0 1
15 0 1
4 0 1
5 0 1
15 0 1
3 0 1
13 0 1
15 0 1
18 0 1
4 0 1
2 0 1
7 0 1
2 0 1
2 0 1
6 0 1
8 0 1
12 0 1
5 0 1
3 0 1
7 0 1
5 0 1
4 0 1
6 0 1
15 0 1
4 0 1
6 0 1
4 0 1
7 0 1
10 0 1
6 0 1
3 0 1
4 0 1
7 0 1
4 0 1
2 0 1
7 0 1
5 0 1
6 0 1
21 0 1
3 0 1
3 0 1
2 0 1
6 0 1
12 0 1
5 0 1
8 0 1
85 0 1
2 0 1
3 0 1
8 0 1
3 0 1
4 0 1
11 0 1
4 0 1
6 0 1
4 0 1
8 0 1
10 0 1
2 0 1
6 0 1
2 0 1
4 0 1
5 0 1
2 0 1
8 0 1
42 0 1
6 0 1
16 0 1
5 0 1
5 0 1
17 0 1
11 0 1
8 0 1
6 0 1
7 0 1
5 0 1
4 0 1
2 0 1
4 0 1
4 0 1
9 0 1
2 0 1
2 0 1
7 0 1
11 0 1
5 0 1
23 0 1
19 0 1
3 0 1
20 0 1
3 0 1
3 0 1
11 0 1
4 0 1
4 0 1
5 0 1
8 0 1
7 0 1
4 0 1
13 0 1
4 0 1
12 0 1
21 0 1
4 0 1
6 0 1
2 0 1
9 0 1
7 0 1
2 0 1
5 0 1
3 0 1
2 0 1
2 0 1
2 0 1
2 0 1
2 0 1
5 0 1
5 0 1
3 0 1
5 0 1
15 0 1
3 0 1
2 0 1
3 0 1
3 0 1
7 0 1
5 0 1
6 0 1
9 0 1
17 0 1
5 0 1
4 0 1
4 0 1
5 0 1
10 0 1
4 0 1
11 0 1
4 0 1
6 0 1
26 0 1
2 0 1
5 0 1
49 0 1
5 0 1
6 0 1
10 0 1
3 0 1
3 0 1
8 0 1
2 0 1
16 0 1
4 0 1
6 0 1
3 0 1
4 0 1
2 0 1
3 0 1
2 0 1
12 0 1
2 0 1
7 0 1
5 0 1
36 0 1
8 0 1
7 0 1
9 0 1
2 0 1
7 0 1
2 0 1
2 0 1
10 0 1
2 0 1
2 0 1
26 0 1
13 0 1
2 0 1
4 0 1
7 0 1
6 0 1
8 0 1
4 0 1
3 0 1
9 0 1
2 0 1
6 0 1
4 0 1
3 0 1
4 0 1
2 0 1
9 0 1
2 0 1
7 0 1
43 0 1
6 0 1
3 0 1
3 0 1
13 0 1
20 0 1
2 0 1
8 0 1
2 0 1
5 0 1
23 0 1
5 0 1
9 0 1
6 0 1
5 0 1
3 0 1
6 0 1
8 0 1
11 0 1
9 0 1
156 0 1
2 0 1
32 0 1
6 0 1
2 0 1
2 0 1
5 0 1
3 0 1
4 0 1
5 0 1
4 0 1
7 0 1
19 0 1
4 0 1
20 0 1
4 0 1
23 0 1
3 0 1
2 0 1
6 0 1
5 0 1
2 0 1
14 0 1
7 0 1
5 0 1
5 0 1
18 0 1
17 0 1
5 0 1
17 0 1
8 0 1
9 0 1
11 0 1
14 0 1
2 0 1
57 0 1
33 0 1
15 0 1
3 0 1
2 0 1
4 0 1
57 0 1
2 0 1
3 0 1
10 0 1
2 0 1
2 0 1
26 0 1
21 0 1
11 0 1
25 0 1
10 0 1
2 0 1
8 0 1
2 0 1
2 0 1
3 0 1
7 0 1
7 0 1
14 0 1
15 0 1
3 0 1
2 0 1
5 0 1
6 0 1
3 0 1
8 0 1
4 0 1
4 0 1
18 0 1
3 0 1
8 0 1
10 0 1
3 0 1
10 0 1
7 0 1
18 0 1
14 0 1
10 0 1
27 0 1
2 0 1
4 0 1
8 0 1
7 0 1
8 0 1
16 0 1
7 0 1
8 0 1
2 0 1
5 0 1
10 0 1
3 0 1
12 0 1
18 0 1
8 0 1
9 0 1
2 0 1
18 0 1
13 0 1
20 0 1
4 0 1
50 0 1
11 0 1
11 0 1
9 0 1
4 0 1
3 0 1
2 0 1
4 0 1
12 0 1
5 0 1
8 0 1
2 0 1
6 0 1
15 0 1
13 0 1
3 0 1
2 0 1
4 0 1
3 0 1
21 0 1
5 0 1
3 0 1
5 0 1
9 0 1
8 0 1
3 0 1
3 0 1
4 0 1
3 0 1
10 0 1
4 0 1
2 0 1
3 0 1
13 0 1
13 0 1
6 0 1
5 0 1
2 0 1
15 0 1
5 0 1
2 0 1
5 0 1
6 0 1
30 0 1
3 0 1
3 0 1
2 0 1
4 0 1
6 0 1
10 0 1
8 0 1
4 0 1
12 0 1
15 0 1
10 0 1
18 0 1
4 0 1
29 0 1
16 0 1
12 0 1
4 0 1
5 0 1
8 0 1
5 0 1
2 0 1
3 0 1
3 0 1
13 0 1
8 0 1
23 0 1
3 0 1
26 0 1
11 0 1
13 0 1
5 0 1
3 0 1
20 0 1
2 0 1
2 0 1
19 0 1
2 0 1
3 0 1
5 0 1
3 0 1
7 0 1
2 0 1
11 0 1
9 0 1
7 0 1
2 0 1
2 0 1
4 0 1
6 0 1
6 0 1
6 0 1
7 0 1
29 0 1
9 0 1
5 0 1
13 0 1
6 0 1
5 0 1
22 0 1
25 0 1
16 0 1
4 0 1
2 0 1
3 0 1
3 0 1
2 0 1
72 0 1
9 0 1
3 0 1
3 0 1
4 0 1
6 0 1
12 0 1
7 0 1
8 0 1
9 0 1
6 0 1
4 0 1
7 0 1
4 0 1
30 0 1
7 0 1
21 0 1
9 0 1
2 0 1
9 0 1
12 0 1
3 0 1
21 0 1
16 0 1
3 0 1
25 0 1
23 0 1
8 0 1
35 0 1
4 0 1
3 0 1
4 0 1
7 0 1
5 0 1
5 0 1
7 0 1
6 0 1
3 0 1
4 0 1
11 0 1
8 0 1
13 0 1
4 0 1
8 0 1
3 0 1
20 0 1
6 0 1
24 0 1
4 0 1
14 0 1
4 0 1
3 0 1
4 0 1
10 0 1
3 0 1
2 0 1
26 0 1
4 0 1
4 0 1
4 0 1
13 0 1
60 0 1
5 0 1
3 0 1
15 0 1
12 0 1
36 0 1
3 0 1
13 0 1
4 0 1
11 0 1
4 0 1
3 0 1
14 0 1
5 0 1
7 0 1
10 0 1
7 0 1
7 0 1
5 0 1
9 0 1
10 0 1
5 0 1
3 0 1
15 0 1
14 0 1
8 0 1
3 0 1
8 0 1
5 0 1
86 0 1
8 0 1
7 0 1
9 0 1
3 0 1
10 0 1
8 0 1
13 0 1
6 0 1
11 0 1
7 0 1
6 0 1
6 0 1
2 0 1
3 0 1
6 0 1
2 0 1
11 0 1
4 0 1
9 0 1
7 0 1
2 0 1
3 0 1
14 0 1
11 0 1
3 0 1
3 0 1
2 0 1
3 0 1
6 0 1
3 0 1
6 0 1
10 0 1
13 0 1
2 0 1
3 0 1
29 0 1
6 0 1
23 0 1
7 0 1
7 0 1
3 0 1
13 0 1
9 0 1
7 0 1
15 0 1
23 0 1
3 0 1
20 0 1
6 0 1
5 0 1
5 0 1
4 0 1
27 0 1
5 0 1
9 0 1
3 0 1
2 0 1
5 0 1
19 0 1
2 0 1
5 0 1
7 0 1
5 0 1
6 0 1
14 0 1
12 0 1
4 0 1
5 0 1
15 0 1
6 0 1
6 0 1
10 0 1
4 0 1
3 0 1
44 0 1
8 0 1
2 0 1
7 0 1
26 0 1
19 0 1
5 0 1
12 0 1
6 0 1
4 0 1
7 0 1
10 0 1
27 0 1
3 0 1
3 0 1
24 0 1
16 0 1
2 0 1
20 0 1
9 0 1
9 0 1
4 0 1
13 0 1
7 0 1
6 0 1
5 0 1
22 0 1
11 0 1
5 0 1
6 0 1
32 0 1
5 0 1
8 0 1
7 0 1
12 0 1
4 0 1
5 0 1
2 0 1
2 0 1
10 0 1
9 0 1
9 0 1
9 0 1
6 0 1
3 0 1
5 0 1
26 0 1
5 0 1
2 0 1
5 0 1
3 0 1
5 0 1
2 0 1
5 0 1
102 0 1
6 0 1
42 0 1
2 0 1
5 0 1
12 0 1
2 0 1
2 0 1
7 0 1
6 0 1
13 0 1
10 0 1
17 0 1
10 0 1
3 0 1
3 0 1
17 0 1
4 0 1
3 0 1
3 0 1
2 0 1
3 0 1
3 0 1
6 0 1
39 0 1
9 0 1
6 0 1
4 0 1
13 0 1
8 0 1
2 0 1
2 0 1
2 0 1
4 0 1
5 0 1
4 0 1
7 0 1
15 0 1
5 0 1
7 0 1
9 0 1
15 0 1
8 0 1
2 0 1
3 0 1
2 0 1
23 0 1
4 0 1
3 0 1
7 0 1
10 0 1
3 0 1
8 0 1
5 0 1
2 0 1
5 0 1
5 0 1
2 0 1
2 0 1
4 0 1
41 0 1
10 0 1
15 0 1
9 0 1
10 0 1
5 0 1
9 0 1
37 0 1
3 0 1
5 0 1
13 0 1
66 0 1
27 0 1
10 0 1
5 0 1
14 0 1
15 0 1
32 0 1
20 0 1
24 0 1
12 0 1
4 0 1
16 0 1
2 0 1
7 0 1
8 0 1
8 0 1
3 0 1
13 0 1
11 0 1
6 0 1
10 0 1
6 0 1
6 0 1
2 0 1
4 0 1
6 0 1
3 0 1
3 0 1
13 0 1
13 0 1
22 0 1
20 0 1
13 0 1
5 0 1
2 0 1
6 0 1
2 0 1
3 0 1
3 0 1
3 0 1
26 0 1
2 0 1
2 0 1
3 0 1
8 0 1
5 0 1
5 0 1
2 0 1
2 0 1
7 0 1
25 0 1
2 0 1
3 0 1
3 0 1
3 0 1
2 0 1
3 0 1
3 0 1
3 0 1
2 0 1
3 0 1
2 0 1
2 0 1
8 0 1
10 0 1
19 0 1
14 0 1
4 0 1
7 0 1
6 0 1
6 0 1
7 0 1
6 0 1
5 0 1
6 0 1
3 0 1
3 0 1
5 0 1
5 0 1
28 0 1
4 0 1
45 0 1
6 0 1
12 0 1
2 0 1
30 0 1
7 0 1
4 0 1
7 0 1
20 0 1
7 0 1
3 0 1
3 0 1
2 0 1
7 0 1
5 0 1
6 0 1
25 0 1
23 0 1
4 0 1
7 0 1
3 0 1
16 0 1
8 0 1
5 0 1
4 0 1
13 0 1
3 0 1
2 0 1
14 0 1
6 0 1
4 0 1
5 0 1
3 0 1
16 0 1
13 0 1
7 0 1
3 0 1
14 0 1
3 0 1
10 0 1
10 0 1
12 0 1
5 0 1
3 0 1
3 0 1
18 0 1
12 0 1
5 0 1
3 0 1
20 0 1
39 0 1
3 0 1
2 0 1
2 0 1
4 0 1
12 0 1
4 0 1
2 0 1
3 0 1
3 0 1
53 0 1
3 0 1
24 0 1
14 0 1
3 0 1
6 0 1
5 0 1
4 0 1
3 0 1
9 0 1
2 0 1
24 0 1
4 0 1
2 0 1
6 0 1
12 0 1
10 0 1
6 0 1
17 0 1
17 0 1
3 0 1
3 0 1
4 0 1
2 0 1
14 0 1
3 0 1
2 0 1
8 0 1
2 0 1
2 0 1
5 0 1
3 0 1
2 0 1
2 0 1
3 0 1
3 0 1
5 0 1
5 0 1
2 0 1
7 0 1
5 0 1
7 0 1
7 0 1
18 0 1
5 0 1
2 0 1
18 0 1
5 0 1
2 0 1
4 0 1
4 0 1
2 0 1
4 0 1
5 0 1
3 0 1
2 0 1
6 0 1
5 0 1
2 0 1
4 0 1
4 0 1
2 0 1
11 0 1
5 0 1
3 0 1
6 0 1
4 0 1
25 0 1
17 0 1
54 0 1
2 0 1
3 0 1
3 0 1
5 0 1
4 0 1
4 0 1
26 0 1
9 0 1
3 0 1
14 0 1
3 0 1
2 0 1
4 0 1
18 0 1
16 0 1
21 0 1
3 0 1
2 0 1
4 0 1
113 0 1
8 0 1
3 0 1
3 0 1
9 0 1
8 0 1
6 0 1
2 0 1
4 0 1
2 0 1
3 0 1
16 0 1
35 0 1
6 0 1
31 0 1
3 0 1
4 0 1
5 0 1
5 0 1
4 0 1
3 0 1
2 0 1
17 0 1
3 0 1
3 0 1
10 0 1
7 0 1
11 0 1
17 0 1
3 0 1
5 0 1
6 0 1
5 0 1
57 0 1
4 0 1
3 0 1
9 0 1
5 0 1
4 0 1
4 0 1
2 0 1
3 0 1
14 0 1
2 0 1
4 0 1
6 0 1
6 0 1
4 0 1
34 0 1
7 0 1
2 0 1
27 0 1
6 0 1
2 0 1
62 0 1
2 0 1
3 0 1
2 0 1
3 0 1
3 0 1
5 0 1
2 0 1
40 0 1
5 0 1
10 0 1
9 0 1
2 0 1
3 0 1
3 0 1
3 0 1
3 0 1
5 0 1
3 0 1
3 0 1
7 0 1
11 0 1
7 0 1
22 0 1
4 0 1
6 0 1
14 0 1
3 0 1
7 0 1
12 0 1
3 0 1
18 0 1
3 0 1
2 0 1
3 0 1
3 0 1
9 0 1
2 0 1
5 0 1
6 0 1
2 0 1
3 0 1
6 0 1
2 0 1
2 0 1
6 0 1
13 0 1
12 0 1
2 0 1
3 0 1
2 0 1
77 0 1
7 0 1
6 0 1
4 0 1
4 0 1
2 0 1
8 0 1
17 0 1
2 0 1
4 0 1
3 0 1
3 0 1
3 0 1
5 0 1
4 0 1
5 0 1
2 0 1
3 0 1
4 0 1
2 0 1
4 0 1
10 0 1
3 0 1
19 0 1
54 0 1
20 0 1
15 0 1
6 0 1
6 0 1
29 0 1
10 0 1
4 0 1
3 0 1
7 0 1
2 0 1
12 0 1
2 0 1
19 0 1
4 0 1
2 0 1
16 0 1
10 0 1
9 0 1
17 0 1
15 0 1
8 0 1
20 0 1
11 0 1
5 0 1
20 0 1
2 0 1
8 0 1
5 0 1
26 0 1
7 0 1
9 0 1
5 0 1
9 0 1
8 0 1
6 0 1
21 0 1
26 0 1
19 0 1
5 0 1
3 0 1
5 0 1
9 0 1
4 0 1
12 0 1
9 0 1
4 0 1
7 0 1
6 0 1
9 0 1
7 0 1
10 0 1
11 0 1
25 0 1
5 0 1
6 0 1
4 0 1
7 0 1
5 0 1
4 0 1
4 0 1
16 0 1
5 0 1
7 0 1
4 0 1
3 0 1
2 0 1
7 0 1
7 0 1
11 0 1
3 0 1
3 0 1
19 0 1
7 0 1
8 0 1
6 0 1
7 0 1
29 0 1
29 0 1
9 0 1
22 0 1
3 0 1
9 0 1
7 0 1
4 0 1
31 0 1
5 0 1
3 0 1
7 0 1
3 0 1
25 0 1
11 0 1
3 0 1
9 0 1
7 0 1
27 0 1
6 0 1
7 0 1
5 0 1
14 0 1
3 0 1
2 0 1
2 0 1
8 0 1
2 0 1
7 0 1
24 0 1
9 0 1
5 0 1
2 0 1
26 0 1
6 0 1
6 0 1
4 0 1
6 0 1
4 0 1
2 0 1
4 0 1
3 0 1
4 0 1
21 0 1
6 0 1
3 0 1
9 0 1
42 0 1
14 0 1
16 0 1
4 0 1
17 0 1
13 0 1
5 0 1
12 0 1
2 0 1
2 0 1
8 0 1
8 0 1
9 0 1
2 0 1
5 0 1
7 0 1
8 0 1
5 0 1
7 0 1
12 0 1
17 0 1
2 0 1
18 0 1
17 0 1
3 0 1
3 0 1
22 0 1
2 0 1
2 0 1
5 0 1
10 0 1
3 0 1
6 0 1
4 0 1
10 0 1
2 0 1
2 0 1
22 0 1
29 0 1
6 0 1
11 0 1
6 0 1
27 0 1
2 0 1
6 0 1
5 0 1
3 0 1
6 0 1
16 0 1
9 0 1
4 0 1
2 0 1
2 0 1
13 0 1
7 0 1
23 0 1
11 0 1
2 0 1
14 0 1
7 0 1
10 0 1
8 0 1
10 0 1
5 0 1
5 0 1
6 0 1
3 0 1
3 0 1
4 0 1
9 0 1
5 0 1
16 0 1
7 0 1
3 0 1
9 0 1
3 0 1
16 0 1
10 0 1
8 0 1
24 0 1
10 0 1
23 0 1
15 0 1
2 0 1
8 0 1
3 0 1
8 0 1
16 0 1
15 0 1
6 0 1
3 0 1
6 0 1
3 0 1
11 0 1
3 0 1
3 0 1
5 0 1
7 0 1
5 0 1
37 0 1
10 0 1
3 0 1
3 0 1
3 0 1
2 0 1
4 0 1
3 0 1
3 0 1
4 0 1
14 0 1
15 0 1
4 0 1
25 0 1
2 0 1
14 0 1
3 0 1
5 0 1
19 0 1
5 0 1
12 0 1
3 0 1
3 0 1
5 0 1
10 0 1
18 0 1
9 0 1
15 0 1
4 0 1
8 0 1
10 0 1
7 0 1
24 0 1
10 0 1
8 0 1
7 0 1
9 0 1
3 0 1
4 0 1
20 0 1
18 0 1
8 0 1
3 0 1
8 0 1
2 0 1
9 0 1
12 0 1
4 0 1
15 0 1
26 0 1
17 0 1
3 0 1
4 0 1
4 0 1
22 0 1
21 0 1
15 0 1
12 0 1
10 0 1
3 0 1
3 0 1
18 0 1
3 0 1
7 0 1
3 0 1
5 0 1
5 0 1
3 0 1
3 0 1
3 0 1
15 0 1
12 0 1
27 0 1
7 0 1
2 0 1
5 0 1
3 0 1
23 0 1
5 0 1
2 0 1
2 0 1
27 0 1
5 0 1
6 0 1
7 0 1
5 0 1
6 0 1
8 0 1
7 0 1
11 0 1
6 0 1
7 0 1
2 0 1
8 0 1
8 0 1
5 0 1
15 0 1
38 0 1
5 0 1
10 0 1
18 0 1
2 0 1
4 0 1
9 0 1
3 0 1
16 0 1
14 0 1
15 0 1
4 0 1
2 0 1
13 0 1
4 0 1
2 0 1
2 0 1
4 0 1
5 0 1
8 0 1
22 0 1
3 0 1
6 0 1
16 0 1
4 0 1
9 0 1
19 0 1
3 0 1
13 0 1
9 0 1
33 0 1
14 0 1
29 0 1
9 0 1
13 0 1
2 0 1
6 0 1
2 0 1
4 0 1
11 0 1
5 0 1
10 0 1
12 0 1
5 0 1
7 0 1
11 0 1
9 0 1
9 0 1
8 0 1
4 0 1
21 0 1
3 0 1
11 0 1
8 0 1
3 0 1
31 0 1
5 0 1
14 0 1
5 0 1
22 0 1
4 0 1
2 0 1
6 0 1
4 0 1
5 0 1
6 0 1
5 0 1
6 0 1
4 0 1
4 0 1
10 0 1
3 0 1
7 0 1
14 0 1
12 0 1
3 0 1
20 0 1
16 0 1
3 0 1
3 0 1
2 0 1
11 0 1
2 0 1
2 0 1
3 0 1
4 0 1
2 0 1
20 0 1
7 0 1
8 0 1
4 0 1
5 0 1
3 0 1
5 0 1
6 0 1
4 0 1
3 0 1
2 0 1
5 0 1
3 0 1
7 0 1
6 0 1
10 0 1
8 0 1
5 0 1
3 0 1
7 0 1
2 0 1
12 0 1
2 0 1
7 0 1
7 0 1
3 0 1
6 0 1
28 0 1
9 0 1
13 0 1
6 0 1
5 0 1
7 0 1
11 0 1
60 0 1
9 0 1
3 0 1
5 0 1
4 0 1
13 0 1
4 0 1
10 0 1
5 0 1
4 0 1
2 0 1
4 0 1
6 0 1
6 0 1
5 0 1
4 0 1
5 0 1
4 0 1
5 0 1
2 0 1
6 0 1
3 0 1
4 0 1
3 0 1
5 0 1
8 0 1
2 0 1
2 0 1
22 0 1
6 0 1
3 0 1
4 0 1
4 0 1
9 0 1
