nodesPerPartition bytesPerNode cliquesPerPartition
4 0 1
3 0 1
16 1 4
13 1 3
5 0 1
10 0 1
7 0 1
14 0 1
31 1 2
9 0 1
13 1 4
11 1 3
9 1 3
2 0 1
7 1 2
20 1 4
8 1 2
9 0 1
2 0 1
2 0 1
5 0 1
9 0 1
2 0 1
14 1 3
5 1 2
18 1 3
25 1 2
21 1 3
4 0 1
23 1 3
7 0 1
6 0 1
5 0 1
33 1 2
2 0 1
4 0 1
9 0 1
28 1 4
2 0 1
2 0 1
9 0 1
23 1 2
13 1 2
9 1 3
7 0 1
3 0 1
11 1 3
11 1 2
21 1 3
12 1 2
3 0 1
4 0 1
2 0 1
3 0 1
23 0 1
12 1 4
27 0 1
2 0 1
2 0 1
6 0 1
20 1 4
18 1 3
18 1 3
9 0 1
6 1 2
2 0 1
3 1 2
3 0 1
3 0 1
9 1 3
9 1 4
3 0 1
6 1 2
10 0 1
3 0 1
16 1 3
2 0 1
26 1 2
4 0 1
23 0 1
7 0 1
2 0 1
4 1 2
3 0 1
4 0 1
7 1 3
7 0 1
5 0 1
16 0 1
2 0 1
3 0 1
2 0 1
5 1 2
2 0 1
11 1 3
10 0 1
8 0 1
9 1 2
14 1 2
3 0 1
10 1 2
11 0 1
31 1 2
13 0 1
11 1 2
3 0 1
4 0 1
16 1 2
8 0 1
8 0 1
7 0 1
6 1 2
2 0 1
40 1 2
4 0 1
32 0 1
11 1 2
3 0 1
2 0 1
8 1 3
5 0 1
3 0 1
6 0 1
20 1 3
5 1 2
8 0 1
25 0 1
21 1 2
6 0 1
2 0 1
3 0 1
14 0 1
4 0 1
6 0 1
3 0 1
7 0 1
2 0 1
3 1 2
10 1 2
7 1 2
10 1 2
2 0 1
11 0 1
9 0 1
5 0 1
43 0 1
3 0 1
3 0 1
15 0 1
2 0 1
2 0 1
15 1 3
5 0 1
7 1 2
7 0 1
25 1 2
4 0 1
2 0 1
4 0 1
11 1 2
10 1 2
11 0 1
3 1 2
5 0 1
2 0 1
4 0 1
14 1 4
6 1 2
9 0 1
16 0 1
4 0 1
7 0 1
10 1 2
11 1 2
10 1 2
5 0 1
2 0 1
21 1 2
3 0 1
6 0 1
3 0 1
2 0 1
12 1 3
11 0 1
7 0 1
4 0 1
23 1 3
14 1 2
6 0 1
2 0 1
3 0 1
14 1 2
9 1 3
5 0 1
25 1 3
20 0 1
6 0 1
7 0 1
9 1 2
42 1 2
5 0 1
2 0 1
15 1 3
9 1 3
2 0 1
16 0 1
14 1 2
30 1 4
24 1 3
6 0 1
2 0 1
10 0 1
3 0 1
4 0 1
9 0 1
4 0 1
11 1 2
4 0 1
45 1 4
24 1 3
5 0 1
4 0 1
10 0 1
9 1 2
4 1 2
4 0 1
3 0 1
11 1 2
2 0 1
9 1 4
2 0 1
6 0 1
5 1 2
21 1 2
14 1 4
5 0 1
35 0 1
5 0 1
7 0 1
17 1 3
2 0 1
17 1 3
4 1 2
10 0 1
9 0 1
7 1 2
25 1 4
2 0 1
15 0 1
4 0 1
5 1 2
3 0 1
6 0 1
8 0 1
29 0 1
3 0 1
9 1 2
17 0 1
8 1 2
7 1 2
8 0 1
71 1 2
11 0 1
28 0 1
5 0 1
18 1 3
42 1 3
18 0 1
15 1 2
7 1 4
9 1 2
32 1 2
3 0 1
13 1 4
7 0 1
12 1 4
20 0 1
9 1 2
2 0 1
10 1 2
11 1 3
3 0 1
16 1 3
4 0 1
6 0 1
6 1 2
15 1 3
17 1 4
13 0 1
21 1 2
14 1 3
16 1 3
11 0 1
5 0 1
24 0 1
7 1 2
3 0 1
20 1 2
2 0 1
3 1 2
9 1 2
3 0 1
15 1 4
9 1 4
7 0 1
3 0 1
2 0 1
4 0 1
9 1 2
6 1 2
15 1 3
4 0 1
6 1 2
4 0 1
8 1 2
3 0 1
11 0 1
5 0 1
5 1 2
5 1 2
24 1 4
47 1 4
8 0 1
10 1 2
5 1 2
7 0 1
2 0 1
3 0 1
27 0 1
7 0 1
2 0 1
27 1 3
65 1 3
7 0 1
5 0 1
7 0 1
16 1 2
5 0 1
8 1 2
6 0 1
6 0 1
13 0 1
5 0 1
5 1 2
7 0 1
11 0 1
4 0 1
17 1 2
2 0 1
7 0 1
21 1 2
38 1 2
3 0 1
3 0 1
12 0 1
9 0 1
9 0 1
21 0 1
5 0 1
5 1 2
8 1 2
8 0 1
14 1 4
2 0 1
9 1 2
5 0 1
2 0 1
2 0 1
4 0 1
16 0 1
4 0 1
2 0 1
9 0 1
15 1 3
6 0 1
22 1 3
20 1 4
5 0 1
31 1 3
4 0 1
5 0 1
12 1 3
5 0 1
12 0 1
5 0 1
16 0 1
3 0 1
2 0 1
10 0 1
5 0 1
6 0 1
12 1 3
5 1 2
16 1 3
5 0 1
2 0 1
16 1 4
5 0 1
5 0 1
7 0 1
25 1 3
24 1 3
8 0 1
3 0 1
2 0 1
2 0 1
14 0 1
29 1 3
13 0 1
11 0 1
16 0 1
14 0 1
15 1 2
4 0 1
2 0 1
6 1 2
6 1 2
4 1 3
16 0 1
5 0 1
9 0 1
21 1 4
7 0 1
16 1 2
2 0 1
7 1 2
2 0 1
2 0 1
6 0 1
9 0 1
3 0 1
2 0 1
7 1 3
15 1 2
9 0 1
3 0 1
15 1 2
5 0 1
17 1 2
2 0 1
4 0 1
7 0 1
6 0 1
3 0 1
19 1 3
6 1 2
35 1 2
4 0 1
44 1 2
13 0 1
6 1 2
9 0 1
9 0 1
30 1 3
5 0 1
12 0 1
4 1 2
7 0 1
11 1 2
8 1 2
59 1 2
24 0 1
36 0 1
3 0 1
41 1 2
3 0 1
7 0 1
20 1 2
3 0 1
3 0 1
9 0 1
11 0 1
7 1 2
2 0 1
25 1 4
13 1 3
12 0 1
2 0 1
7 1 2
16 0 1
10 0 1
16 1 2
3 1 2
2 0 1
2 0 1
12 1 3
5 1 2
13 1 3
4 0 1
3 0 1
10 0 1
5 0 1
2 0 1
12 1 3
4 0 1
3 0 1
26 1 2
7 0 1
4 0 1
27 1 4
5 1 2
4 0 1
5 0 1
4 1 2
6 1 2
7 0 1
15 0 1
5 0 1
17 0 1
30 1 2
5 1 2
7 0 1
4 0 1
6 0 1
8 1 2
2 0 1
2 0 1
7 1 3
13 1 3
10 0 1
2 0 1
2 0 1
3 0 1
4 0 1
11 0 1
6 1 2
7 1 3
7 0 1
27 0 1
12 0 1
5 0 1
12 1 2
13 1 4
5 0 1
5 1 2
25 1 3
4 0 1
18 0 1
3 1 2
13 1 2
7 0 1
3 0 1
5 0 1
17 1 2
10 0 1
31 1 4
27 1 4
8 0 1
33 1 4
13 1 2
3 0 1
5 0 1
6 0 1
10 1 2
16 1 2
32 1 4
8 0 1
12 1 3
4 0 1
11 1 2
4 0 1
25 1 3
19 0 1
5 0 1
3 0 1
6 0 1
19 1 4
16 1 4
21 1 3
31 1 4
2 0 1
3 0 1
4 0 1
13 1 2
11 0 1
5 0 1
11 1 3
14 1 2
6 1 2
4 0 1
3 0 1
14 1 3
7 0 1
10 1 2
17 1 2
7 0 1
15 1 2
3 0 1
3 0 1
41 1 3
10 0 1
4 0 1
4 0 1
3 0 1
3 0 1
4 0 1
15 1 3
14 0 1
7 0 1
3 0 1
38 1 4
5 0 1
21 1 2
11 0 1
8 0 1
3 0 1
3 0 1
14 0 1
5 0 1
2 0 1
2 0 1
7 1 2
14 1 3
13 1 3
4 0 1
2 0 1
6 0 1
5 0 1
3 0 1
46 1 4
3 0 1
51 1 2
15 1 2
9 0 1
8 0 1
8 1 3
6 0 1
8 1 2
16 1 3
19 1 2
2 0 1
5 0 1
3 0 1
12 1 2
28 1 2
14 0 1
2 0 1
5 0 1
2 0 1
19 1 2
3 0 1
8 0 1
13 0 1
5 0 1
6 1 3
13 0 1
5 0 1
5 0 1
2 0 1
6 0 1
4 0 1
9 1 2
15 0 1
3 0 1
8 0 1
13 0 1
3 0 1
2 0 1
17 1 2
6 0 1
4 1 2
21 1 2
15 1 4
13 1 2
3 0 1
4 0 1
5 0 1
7 0 1
4 0 1
9 1 2
11 0 1
8 0 1
6 0 1
13 0 1
4 0 1
5 1 3
3 0 1
3 0 1
3 0 1
13 1 3
13 1 3
12 1 2
2 0 1
3 0 1
11 0 1
31 1 2
2 0 1
6 0 1
15 1 2
3 0 1
3 0 1
15 1 3
9 1 2
14 1 2
2 0 1
16 1 3
8 1 2
23 1 2
5 1 2
5 1 2
7 0 1
19 1 2
10 1 2
2 0 1
3 0 1
11 0 1
6 0 1
6 1 2
5 0 1
8 0 1
4 0 1
3 0 1
9 1 2
11 0 1
3 0 1
8 1 2
5 0 1
2 0 1
8 0 1
13 0 1
5 0 1
9 0 1
6 0 1
2 0 1
8 0 1
22 0 1
3 0 1
3 0 1
16 1 3
5 1 2
6 0 1
3 0 1
2 0 1
5 1 2
3 0 1
44 0 1
2 0 1
4 0 1
37 1 3
22 0 1
9 0 1
10 0 1
11 1 2
10 1 2
9 1 2
29 1 4
5 0 1
4 0 1
8 0 1
15 1 3
5 0 1
2 0 1
7 1 3
2 0 1
13 0 1
4 0 1
11 0 1
3 0 1
10 0 1
15 1 2
28 1 3
5 1 2
16 1 2
46 1 4
6 1 3
5 0 1
8 0 1
10 1 2
4 1 3
12 1 2
8 0 1
5 1 2
20 1 2
8 1 2
6 0 1
5 0 1
15 1 2
3 0 1
28 1 3
6 1 3
2 0 1
17 1 3
6 0 1
14 0 1
20 1 2
7 0 1
6 0 1
6 0 1
2 0 1
14 1 3
13 1 2
3 0 1
16 1 2
4 0 1
26 1 2
7 0 1
19 0 1
6 1 2
3 0 1
24 1 3
24 1 3
6 0 1
39 1 4
5 0 1
8 0 1
14 0 1
3 0 1
8 0 1
2 0 1
7 1 3
37 1 3
2 0 1
22 1 3
13 0 1
11 1 3
4 1 2
4 1 2
4 0 1
6 0 1
3 0 1
4 0 1
2 0 1
8 1 2
18 1 3
5 0 1
3 0 1
4 0 1
14 1 4
7 1 3
14 1 2
5 0 1
4 0 1
13 1 2
8 1 2
3 0 1
10 0 1
6 0 1
6 0 1
5 0 1
19 1 3
3 0 1
4 0 1
6 0 1
4 0 1
7 0 1
9 1 3
9 1 2
10 1 3
6 1 2
19 0 1
13 1 2
28 1 2
3 0 1
21 1 3
2 0 1
3 0 1
8 0 1
5 0 1
4 0 1
9 0 1
14 1 2
4 0 1
6 0 1
11 1 2
9 0 1
4 0 1
3 0 1
13 1 2
7 1 3
30 1 2
11 0 1
4 0 1
21 1 2
5 0 1
17 1 2
19 1 3
9 1 3
7 0 1
10 1 2
2 0 1
6 1 3
6 0 1
8 0 1
5 0 1
7 1 2
19 0 1
9 1 2
3 0 1
31 1 3
22 1 4
3 0 1
34 0 1
11 0 1
5 0 1
3 0 1
4 0 1
5 1 2
11 1 2
21 1 2
5 0 1
13 1 2
12 1 3
8 0 1
15 1 4
14 1 3
3 0 1
5 0 1
3 0 1
28 1 3
22 1 2
8 0 1
4 0 1
9 0 1
5 0 1
8 0 1
13 1 4
13 1 2
14 0 1
43 1 4
4 1 2
6 1 3
6 1 3
3 1 2
7 1 3
3 0 1
3 0 1
10 0 1
6 1 2
10 1 2
4 1 2
18 0 1
14 1 3
5 0 1
6 0 1
11 1 2
34 1 2
7 1 2
4 1 2
22 1 3
8 0 1
6 1 2
16 0 1
19 1 3
12 0 1
4 0 1
19 1 4
17 1 2
10 1 2
6 0 1
5 1 2
7 0 1
2 0 1
2 0 1
11 0 1
4 1 2
7 1 2
8 0 1
11 0 1
26 1 3
8 0 1
5 1 3
5 0 1
26 1 3
7 1 2
7 1 3
6 1 2
14 1 2
5 1 2
3 1 2
7 1 3
2 0 1
21 0 1
11 1 2
4 0 1
5 0 1
4 0 1
8 0 1
6 0 1
10 1 2
2 0 1
31 1 3
22 1 3
8 0 1
2 0 1
3 0 1
22 1 3
8 1 2
8 1 3
6 0 1
5 0 1
10 0 1
6 0 1
3 0 1
14 1 4
25 1 2
5 1 2
5 0 1
2 0 1
30 1 2
23 1 3
13 1 3
3 0 1
13 1 2
9 0 1
27 0 1
13 0 1
6 0 1
6 1 2
12 0 1
25 1 4
36 1 3
5 0 1
11 1 2
2 0 1
18 1 2
2 0 1
10 0 1
3 0 1
15 0 1
29 1 3
3 0 1
3 0 1
10 0 1
6 0 1
15 1 4
18 1 2
14 1 3
17 1 3
3 1 2
2 0 1
3 0 1
10 1 3
12 0 1
15 0 1
23 1 4
2 0 1
18 1 3
6 0 1
14 1 4
15 0 1
10 0 1
6 1 2
5 0 1
21 1 4
30 1 3
6 0 1
10 0 1
4 0 1
7 1 2
5 0 1
7 0 1
16 1 2
6 0 1
8 1 2
4 0 1
2 0 1
9 0 1
3 0 1
18 0 1
4 1 2
2 0 1
5 1 2
36 1 2
11 1 3
10 1 2
6 1 3
3 1 2
4 0 1
9 0 1
7 1 2
19 1 3
4 1 3
8 0 1
13 1 2
4 1 3
6 0 1
9 0 1
8 0 1
6 0 1
3 0 1
12 0 1
15 1 2
14 0 1
9 1 2
11 1 3
7 0 1
6 1 3
4 0 1
28 1 4
5 1 2
15 1 3
14 1 2
5 0 1
17 0 1
9 1 3
12 0 1
6 0 1
3 1 2
8 0 1
2 0 1
4 0 1
2 0 1
5 1 2
25 0 1
10 0 1
3 1 2
2 0 1
5 1 2
6 0 1
5 0 1
6 0 1
6 0 1
12 1 3
7 0 1
7 0 1
7 0 1
3 0 1
3 0 1
3 1 2
6 1 2
3 0 1
19 1 2
18 1 2
3 0 1
4 0 1
20 1 3
3 0 1
18 0 1
13 1 2
3 0 1
10 1 3
6 0 1
6 0 1
5 0 1
8 1 3
4 0 1
5 0 1
39 1 2
9 1 2
6 0 1
8 1 2
6 1 3
4 0 1
10 1 2
5 0 1
3 0 1
9 0 1
7 0 1
6 0 1
2 0 1
2 0 1
19 1 2
2 0 1
14 1 3
26 1 2
13 1 4
4 0 1
25 1 2
6 0 1
2 0 1
3 0 1
18 1 3
2 0 1
5 0 1
4 0 1
6 0 1
9 1 2
47 1 3
4 0 1
19 1 4
3 0 1
3 0 1
20 1 2
2 0 1
7 1 2
3 0 1
21 1 2
5 0 1
4 0 1
7 0 1
4 0 1
5 0 1
2 0 1
10 1 2
9 0 1
5 0 1
15 1 2
4 0 1
8 0 1
5 1 2
3 0 1
7 1 2
3 0 1
14 1 2
3 0 1
2 0 1
9 1 3
5 0 1
5 0 1
4 1 2
2 0 1
4 0 1
6 0 1
6 1 2
2 0 1
7 1 2
8 1 2
6 0 1
6 1 2
5 1 2
4 0 1
16 1 3
7 1 2
4 1 2
5 0 1
3 0 1
5 1 2
2 0 1
16 0 1
2 0 1
4 0 1
15 1 2
25 0 1
9 0 1
8 1 2
14 1 2
18 1 2
42 0 1
2 0 1
6 0 1
4 0 1
41 1 2
5 0 1
66 1 2
49 1 3
8 1 2
52 1 3
4 1 2
16 0 1
15 1 3
16 1 2
7 0 1
8 1 2
6 1 2
4 1 2
18 1 2
13 1 2
13 1 2
4 0 1
4 0 1
3 0 1
10 1 3
18 1 2
16 1 2
7 0 1
3 0 1
2 0 1
13 1 2
4 1 2
14 1 3
43 0 1
4 0 1
2 0 1
6 0 1
15 1 3
4 0 1
2 0 1
9 1 2
5 1 3
4 0 1
25 1 2
7 1 2
5 1 2
4 1 2
9 1 3
25 1 2
15 1 3
3 0 1
8 0 1
8 0 1
38 1 3
8 1 2
7 0 1
11 1 2
6 0 1
7 0 1
6 0 1
7 1 2
22 1 2
24 1 3
10 1 3
6 1 3
11 1 2
4 0 1
7 1 2
5 1 2
2 0 1
9 1 3
15 1 2
5 0 1
5 0 1
9 1 2
10 0 1
15 1 3
4 0 1
21 0 1
9 0 1
4 0 1
8 0 1
7 1 2
4 1 2
11 1 4
31 1 2
4 0 1
6 0 1
37 0 1
3 0 1
2 0 1
3 0 1
3 0 1
3 0 1
2 0 1
9 0 1
9 1 3
31 1 3
3 0 1
3 0 1
12 0 1
2 0 1
25 0 1
8 1 2
3 0 1
9 0 1
9 1 2
28 1 2
20 1 3
6 1 2
3 0 1
8 0 1
11 1 2
2 0 1
5 0 1
2 0 1
4 0 1
8 1 3
13 0 1
20 1 3
9 0 1
4 0 1
4 0 1
3 0 1
2 0 1
24 0 1
7 1 2
7 0 1
9 0 1
3 0 1
3 0 1
7 0 1
5 0 1
5 0 1
16 1 2
21 1 4
13 1 2
8 1 2
20 1 3
7 1 2
4 0 1
35 1 2
5 0 1
13 0 1
3 0 1
2 0 1
3 0 1
3 0 1
8 1 2
3 1 2
12 0 1
13 1 2
23 1 3
8 1 2
13 0 1
11 1 4
3 0 1
4 0 1
4 0 1
2 0 1
17 0 1
4 0 1
7 0 1
3 0 1
4 0 1
16 1 2
2 0 1
3 0 1
5 1 2
19 0 1
7 1 2
2 0 1
2 0 1
3 0 1
13 0 1
7 0 1
4 0 1
3 0 1
4 0 1
15 1 2
13 1 2
11 1 3
12 1 3
6 0 1
10 1 2
29 1 2
6 1 2
7 1 2
8 0 1
12 0 1
5 1 2
9 1 2
5 0 1
12 0 1
13 1 2
12 1 2
3 0 1
2 0 1
23 0 1
9 1 2
7 0 1
4 0 1
9 0 1
5 1 2
2 0 1
6 0 1
7 0 1
5 0 1
19 1 3
3 0 1
4 0 1
3 0 1
22 1 2
6 1 3
5 1 3
19 0 1
7 0 1
21 1 3
25 1 3
9 1 3
2 0 1
3 0 1
6 1 2
4 1 2
17 1 2
9 1 3
7 0 1
2 0 1
9 1 4
10 0 1
2 0 1
11 0 1
3 0 1
4 0 1
16 1 2
10 1 3
4 0 1
23 0 1
5 1 2
8 0 1
4 0 1
9 1 2
5 0 1
10 1 2
27 1 3
8 1 2
47 1 3
7 0 1
16 1 4
35 0 1
2 0 1
2 0 1
7 0 1
10 1 2
22 0 1
12 0 1
8 0 1
5 0 1
3 0 1
13 1 2
3 0 1
2 0 1
3 0 1
70 1 4
6 0 1
2 0 1
7 0 1
5 1 2
12 1 2
6 0 1
15 1 2
13 1 3
5 1 3
6 0 1
15 1 2
16 1 2
12 1 3
3 0 1
7 0 1
7 0 1
13 1 2
12 0 1
4 0 1
48 1 4
2 0 1
5 0 1
5 1 2
9 0 1
2 0 1
24 0 1
16 1 3
3 0 1
5 0 1
7 1 2
2 0 1
4 0 1
3 0 1
3 1 2
6 1 2
24 0 1
11 1 3
5 0 1
2 0 1
9 1 2
14 0 1
16 0 1
20 0 1
18 0 1
7 1 4
12 1 2
3 0 1
9 0 1
5 0 1
16 1 3
4 0 1
5 0 1
2 0 1
19 1 3
3 0 1
12 1 3
22 1 4
8 0 1
4 1 2
9 1 2
3 0 1
24 1 4
13 1 2
14 0 1
7 0 1
12 0 1
13 1 2
10 0 1
4 0 1
5 0 1
17 0 1
54 1 4
3 0 1
3 0 1
8 1 2
5 1 2
5 1 2
9 1 3
4 0 1
17 0 1
29 1 2
15 1 2
11 0 1
10 1 3
9 0 1
8 1 2
3 0 1
15 0 1
46 1 3
5 0 1
5 0 1
3 0 1
5 0 1
3 0 1
10 1 3
22 1 3
10 1 2
31 1 2
4 1 2
7 1 3
8 1 3
6 1 2
4 0 1
43 1 2
9 0 1
6 0 1
11 1 2
21 1 2
10 0 1
6 0 1
7 0 1
5 0 1
2 0 1
5 1 2
3 0 1
16 0 1
12 1 2
14 1 3
2 0 1
14 1 2
6 1 2
2 0 1
7 1 4
4 0 1
3 0 1
6 0 1
11 0 1
14 1 4
3 0 1
3 0 1
27 1 4
8 0 1
4 0 1
5 1 2
5 1 2
5 0 1
27 0 1
9 0 1
12 1 2
3 0 1
2 0 1
4 0 1
5 1 2
4 0 1
5 1 2
2 0 1
30 1 4
9 1 2
22 0 1
4 0 1
16 0 1
2 0 1
2 0 1
11 1 2
7 0 1
4 0 1
7 0 1
27 1 4
34 1 2
11 0 1
7 1 4
7 1 3
21 1 3
12 1 3
8 1 2
13 0 1
8 1 2
9 0 1
4 0 1
3 0 1
4 0 1
4 1 3
5 1 2
18 1 2
7 0 1
2 0 1
4 0 1
4 0 1
29 1 3
4 0 1
17 0 1
7 0 1
8 1 2
3 0 1
5 0 1
5 1 2
3 0 1
8 1 2
25 0 1
4 0 1
9 1 3
7 0 1
13 1 4
2 0 1
14 1 3
2 0 1
8 1 2
7 1 3
12 1 3
5 0 1
4 0 1
6 1 2
10 0 1
3 0 1
12 0 1
10 1 3
12 1 2
6 1 3
3 1 2
3 0 1
3 0 1
17 1 3
14 1 2
12 0 1
12 1 2
12 0 1
2 0 1
51 1 3
9 0 1
17 0 1
12 1 2
11 1 3
3 0 1
4 0 1
3 0 1
4 0 1
20 1 2
3 0 1
10 0 1
18 1 4
8 1 3
31 1 3
3 1 2
4 1 2
5 1 3
51 0 1
16 1 4
7 1 2
5 1 3
3 0 1
3 0 1
29 1 3
5 0 1
7 0 1
6 0 1
3 0 1
11 1 2
7 1 2
13 1 3
8 1 3
7 1 2
2 0 1
20 1 2
13 1 2
2 0 1
6 0 1
4 0 1
2 0 1
5 0 1
34 1 4
7 0 1
17 0 1
22 1 2
4 0 1
6 1 3
8 0 1
10 1 3
6 0 1
3 0 1
9 1 3
4 0 1
13 0 1
2 0 1
3 0 1
3 0 1
6 0 1
5 0 1
13 1 2
9 1 3
2 0 1
16 1 2
5 1 2
6 0 1
6 0 1
2 0 1
58 0 1
5 0 1
10 0 1
6 0 1
12 0 1
3 0 1
3 0 1
2 0 1
7 0 1
15 0 1
16 0 1
4 0 1
7 0 1
7 1 3
6 0 1
2 0 1
7 0 1
3 0 1
3 0 1
15 1 3
3 0 1
13 1 4
6 1 2
8 1 3
31 1 2
20 0 1
2 0 1
2 0 1
12 1 3
2 0 1
13 1 2
27 1 4
8 1 2
11 1 3
9 0 1
9 0 1
2 0 1
3 0 1
3 0 1
8 0 1
9 1 2
5 0 1
4 0 1
8 0 1
21 1 4
5 0 1
2 0 1
16 1 3
10 0 1
5 0 1
6 1 2
5 0 1
3 0 1
11 1 2
12 1 3
42 1 2
14 1 2
11 0 1
16 1 2
2 0 1
12 1 3
9 0 1
5 0 1
6 0 1
9 0 1
24 1 2
4 1 2
3 0 1
18 1 3
11 1 3
16 0 1
34 0 1
35 0 1
6 0 1
9 1 4
16 1 2
21 1 3
10 1 3
4 0 1
9 1 2
5 0 1
14 0 1
5 0 1
14 1 4
10 0 1
9 1 3
23 1 4
6 0 1
9 1 2
2 0 1
7 0 1
6 1 2
8 1 2
8 1 3
13 0 1
5 0 1
29 1 2
12 0 1
2 0 1
16 1 2
17 1 2
4 0 1
4 1 3
6 1 2
6 0 1
9 0 1
5 1 2
21 1 3
5 0 1
23 1 3
7 0 1
8 0 1
2 0 1
5 0 1
16 1 2
3 1 2
8 1 2
6 0 1
6 0 1
25 1 3
3 0 1
7 1 3
2 0 1
4 0 1
2 0 1
2 0 1
33 1 3
3 0 1
4 0 1
6 0 1
6 1 2
9 1 2
5 0 1
16 1 2
11 0 1
6 1 2
13 1 2
12 1 2
57 1 4
12 1 2
11 1 2
6 0 1
5 0 1
9 0 1
2 0 1
6 0 1
12 1 2
7 0 1
5 0 1
3 0 1
6 1 2
8 1 3
9 1 3
8 0 1
15 1 2
5 1 2
2 0 1
4 0 1
6 0 1
3 0 1
3 0 1
13 0 1
6 1 2
6 0 1
10 1 3
9 1 2
12 1 3
4 0 1
4 1 2
11 1 2
5 0 1
9 1 2
3 0 1
11 0 1
9 1 2
38 1 4
12 0 1
2 0 1
6 0 1
3 0 1
5 0 1
3 0 1
5 0 1
11 1 3
2 0 1
3 0 1
8 0 1
4 1 2
5 0 1
11 1 3
4 0 1
4 0 1
3 0 1
14 0 1
7 1 2
13 0 1
3 0 1
25 1 3
29 1 4
10 1 4
5 0 1
7 0 1
15 1 2
13 1 4
3 0 1
6 1 2
2 0 1
4 0 1
5 0 1
11 1 3
9 1 2
4 0 1
4 0 1
3 0 1
8 1 2
3 0 1
6 1 2
5 0 1
2 0 1
4 0 1
10 1 2
2 0 1
5 1 2
2 0 1
26 1 4
2 0 1
8 0 1
9 1 3
17 1 3
5 0 1
4 1 2
3 0 1
4 0 1
6 1 2
30 1 3
6 0 1
4 1 2
10 0 1
8 1 3
9 1 3
5 1 2
5 0 1
5 0 1
9 1 3
2 0 1
5 1 2
24 1 4
4 0 1
13 1 2
10 0 1
19 1 4
21 1 4
9 1 3
5 0 1
7 0 1
3 0 1
8 1 4
3 0 1
8 0 1
13 1 4
2 0 1
3 0 1
6 1 2
13 0 1
16 0 1
4 0 1
5 0 1
7 0 1
41 1 4
3 0 1
5 1 2
9 1 3
5 1 2
2 0 1
2 0 1
6 0 1
6 0 1
3 0 1
16 0 1
16 1 4
10 1 3
11 1 2
3 0 1
17 1 3
9 1 3
5 0 1
29 1 2
14 0 1
11 1 3
4 0 1
4 0 1
3 0 1
6 0 1
3 0 1
12 1 2
6 1 3
9 1 2
5 0 1
3 0 1
3 0 1
13 0 1
8 0 1
7 0 1
10 1 3
5 0 1
7 0 1
11 1 4
3 0 1
13 0 1
3 0 1
4 1 2
20 1 2
6 0 1
3 0 1
13 1 2
27 1 4
5 0 1
32 1 3
20 1 3
34 1 2
4 0 1
9 0 1
4 0 1
5 0 1
12 1 2
4 0 1
8 0 1
9 0 1
3 0 1
3 0 1
19 1 3
6 0 1
13 1 2
17 1 3
15 1 3
8 1 2
8 1 3
4 0 1
4 0 1
4 1 2
3 0 1
13 1 2
2 0 1
3 0 1
10 1 2
9 0 1
4 0 1
4 0 1
2 0 1
2 0 1
5 0 1
4 0 1
14 1 3
3 0 1
8 0 1
10 0 1
7 0 1
29 1 4
4 0 1
3 0 1
2 0 1
14 1 2
8 1 2
5 1 3
3 0 1
9 0 1
5 0 1
7 1 2
3 0 1
25 1 2
5 0 1
6 0 1
7 0 1
6 0 1
3 1 2
10 1 3
2 0 1
3 0 1
15 0 1
9 0 1
6 0 1
5 0 1
8 1 2
13 1 3
23 1 2
6 0 1
2 0 1
9 1 2
4 0 1
3 0 1
3 1 2
9 1 3
2 0 1
15 0 1
3 0 1
3 0 1
12 0 1
11 0 1
8 1 2
4 1 2
12 0 1
12 1 2
5 1 2
13 1 2
2 0 1
29 1 3
8 0 1
7 0 1
5 0 1
2 0 1
4 0 1
4 0 1
17 0 1
6 0 1
10 1 3
3 0 1
3 0 1
3 0 1
21 1 2
3 1 2
17 1 2
6 0 1
9 0 1
7 1 2
3 0 1
7 1 3
4 0 1
4 0 1
5 0 1
7 1 2
2 0 1
6 0 1
7 0 1
5 0 1
3 0 1
4 0 1
11 1 2
7 0 1
22 0 1
18 1 3
2 0 1
29 1 2
19 1 3
24 1 3
6 0 1
4 0 1
5 0 1
9 1 2
6 0 1
7 0 1
2 0 1
5 1 2
9 1 2
8 1 2
17 0 1
32 1 3
6 1 2
11 1 2
3 0 1
5 0 1
2 0 1
7 1 2
13 1 3
5 0 1
5 0 1
4 1 2
8 0 1
9 1 4
3 0 1
12 0 1
28 1 2
19 1 2
6 1 2
9 1 2
9 1 2
21 0 1
6 1 2
8 0 1
2 0 1
8 1 2
4 0 1
3 0 1
8 1 2
3 0 1
5 0 1
6 0 1
3 0 1
2 0 1
7 1 2
16 1 4
8 0 1
5 1 2
2 0 1
4 1 2
8 1 3
3 0 1
6 0 1
20 1 4
14 1 4
13 0 1
7 0 1
12 1 3
9 0 1
15 1 2
8 0 1
7 0 1
5 0 1
3 0 1
6 1 2
17 1 3
4 0 1
3 0 1
13 1 3
11 1 2
6 1 2
5 0 1
6 0 1
4 1 2
65 1 4
5 0 1
3 0 1
3 0 1
2 0 1
3 0 1
21 1 2
5 1 2
2 0 1
2 0 1
18 1 2
15 1 4
13 1 2
5 0 1
11 1 3
3 0 1
11 1 2
33 1 2
3 0 1
2 0 1
8 0 1
3 1 2
26 1 4
5 1 3
19 1 3
15 1 4
3 0 1
20 0 1
7 0 1
2 0 1
33 0 1
5 0 1
11 1 4
4 0 1
4 0 1
